id,match,team,win_lose,tier,mean,std,var
74,643387304,dire,Win,Normal,98.6204825889,37.6830221386,1420.0101575
75,643387304,radiant,Lose,Normal,71.5352997879,44.1334794764,1947.76401069
76,643438672,dire,Lose,Normal,90.8107045536,47.0428584964,2213.03053551
77,643438672,radiant,Win,Normal,98.3245823036,37.5170664279,1407.53027336
78,643470370,dire,Win,Normal,93.5887784625,37.9618865662,1441.10483167
79,643470370,radiant,Lose,Normal,95.9345771085,30.6225905109,937.743049598
80,643524414,dire,Win,Normal,76.7411656628,38.4038092898,1474.85256797
81,643524414,radiant,Lose,Normal,103.36810907,34.5637239869,1194.65101584
82,643571475,dire,Win,Normal,103.647435881,37.4675836031,1403.81982106
83,643571475,radiant,Lose,Normal,85.2446749395,38.5772749043,1488.20613904
84,643627112,dire,Lose,Normal,84.8942678205,37.1554680415,1380.52880538
85,643627112,radiant,Win,Normal,78.5037984951,40.6162094768,1649.67647227
86,645047492,dire,Win,Normal,89.9268118856,47.7917605031,2284.05237198
87,645047492,radiant,Lose,Normal,88.3626687256,41.8000401544,1747.24335691
88,645077087,dire,Lose,Normal,81.7462312776,42.5185747802,1807.82920134
89,645077087,radiant,Win,Normal,78.7965591183,44.5755574473,1986.98032174
90,645112787,dire,Win,Normal,84.0788449555,35.6910869083,1273.8536847
91,645112787,radiant,Lose,Normal,81.7136263687,36.5887862692,1338.73928065
92,645149633,dire,Lose,Normal,81.7951239399,45.4137390907,2062.4076982
93,645149633,radiant,Win,Normal,84.694679852,49.5007943493,2450.32864121
94,645199327,dire,Win,Normal,83.7582147099,41.723735852,1740.87013345
95,645199327,radiant,Lose,Normal,66.1846649732,38.7943362624,1505.00052604
96,648246832,dire,Win,Normal,83.2138145172,37.8342026382,1431.42688927
97,648246832,radiant,Lose,Normal,77.8299487778,45.7353664781,2091.72374688
98,648271831,dire,Win,Normal,88.2625463597,41.1576593426,1693.95292256
99,648271831,radiant,Lose,Normal,77.4997641126,44.9005461298,2016.05904276
