match,team,won,tier,change_zone_count
643051079,dire,0,VeryHigh,234
645258275,dire,0,VeryHigh,264
634751129,dire,0,VeryHigh,268
645138849,dire,0,VeryHigh,280
637461379,radiant,0,VeryHigh,284
645284166,dire,0,VeryHigh,304
643651688,dire,0,VeryHigh,307
638444119,dire,0,VeryHigh,315
636257744,radiant,0,VeryHigh,323
643792570,radiant,0,VeryHigh,340
643721703,dire,0,VeryHigh,340
645318558,dire,0,VeryHigh,349
638399346,dire,0,VeryHigh,374
643680312,dire,0,VeryHigh,385
636381308,dire,0,VeryHigh,391
645252358,radiant,0,VeryHigh,430
636512456,radiant,0,VeryHigh,446
636303474,radiant,0,VeryHigh,468
644676572,radiant,0,VeryHigh,480
639943860,dire,0,VeryHigh,481
643618598,dire,0,VeryHigh,485
643752615,radiant,0,VeryHigh,489
645285079,radiant,0,VeryHigh,490
639655565,dire,0,VeryHigh,503
636311751,radiant,0,VeryHigh,504
634790888,radiant,0,VeryHigh,504
648283764,radiant,0,VeryHigh,506
636420810,radiant,0,VeryHigh,511
647798202,dire,0,VeryHigh,526
643511051,radiant,0,VeryHigh,548
645231935,radiant,0,VeryHigh,554
645358352,dire,0,VeryHigh,555
645223470,radiant,0,VeryHigh,566
645347209,dire,0,VeryHigh,609
645312257,radiant,0,VeryHigh,611
643833001,radiant,0,VeryHigh,619
636342671,dire,0,VeryHigh,623
645212603,dire,0,VeryHigh,630
640183396,radiant,0,VeryHigh,660
645867950,radiant,0,VeryHigh,667
644561255,dire,0,VeryHigh,670
645319525,dire,0,VeryHigh,704
642238139,dire,0,VeryHigh,761
647869043,radiant,0,VeryHigh,782
643538237,radiant,0,VeryHigh,782
646049346,radiant,0,VeryHigh,808
636585258,radiant,0,VeryHigh,833
640088992,dire,0,VeryHigh,991
636476209,radiant,1,VeryHigh,9
643837106,radiant,1,VeryHigh,241
643051079,radiant,1,VeryHigh,310
645138849,radiant,1,VeryHigh,323
643792570,dire,1,VeryHigh,333
645258275,radiant,1,VeryHigh,334
638444119,radiant,1,VeryHigh,336
637461379,dire,1,VeryHigh,337
634751129,radiant,1,VeryHigh,341
643651688,radiant,1,VeryHigh,362
645284166,radiant,1,VeryHigh,367
643680312,radiant,1,VeryHigh,369
636381308,radiant,1,VeryHigh,374
643721703,radiant,1,VeryHigh,389
636257744,dire,1,VeryHigh,400
638399346,radiant,1,VeryHigh,418
645318558,radiant,1,VeryHigh,452
636420810,dire,1,VeryHigh,498
636303474,dire,1,VeryHigh,507
643752615,dire,1,VeryHigh,523
645252358,dire,1,VeryHigh,525
634790888,dire,1,VeryHigh,534
636311751,dire,1,VeryHigh,536
636512456,dire,1,VeryHigh,542
639655565,radiant,1,VeryHigh,546
645312257,dire,1,VeryHigh,551
644676572,dire,1,VeryHigh,554
648283764,dire,1,VeryHigh,554
647798202,radiant,1,VeryHigh,557
645231935,dire,1,VeryHigh,566
645285079,dire,1,VeryHigh,566
643618598,radiant,1,VeryHigh,575
639943860,radiant,1,VeryHigh,580
643511051,dire,1,VeryHigh,607
645223470,dire,1,VeryHigh,621
645347209,radiant,1,VeryHigh,646
643833001,dire,1,VeryHigh,649
645358352,radiant,1,VeryHigh,661
644561255,radiant,1,VeryHigh,665
642238139,radiant,1,VeryHigh,670
645867950,dire,1,VeryHigh,693
636342671,radiant,1,VeryHigh,710
645212603,radiant,1,VeryHigh,760
643538237,dire,1,VeryHigh,768
645319525,radiant,1,VeryHigh,784
646049346,dire,1,VeryHigh,808
640183396,dire,1,VeryHigh,809
636585258,dire,1,VeryHigh,871
647869043,dire,1,VeryHigh,1002
640088992,radiant,1,VeryHigh,1079
644790017,radiant,0,Pro,120
599569853,radiant,0,Pro,243
593051940,dire,0,Pro,281
610363820,radiant,0,Pro,282
647868978,radiant,0,Pro,306
569649581,dire,0,Pro,339
580795951,dire,0,Pro,352
588972183,radiant,0,Pro,354
646416200,radiant,0,Pro,360
591705499,dire,0,Pro,370
600946678,radiant,0,Pro,374
645037586,dire,0,Pro,375
644837381,radiant,0,Pro,384
591890072,dire,0,Pro,385
611706372,radiant,0,Pro,391
601028596,radiant,0,Pro,397
590518928,radiant,0,Pro,414
644745895,dire,0,Pro,417
579132234,dire,0,Pro,432
590348637,dire,0,Pro,447
648005989,radiant,0,Pro,451
646298269,dire,0,Pro,480
644725431,radiant,0,Pro,493
611805511,dire,0,Pro,499
610263617,dire,0,Pro,504
590436483,dire,0,Pro,506
591798786,radiant,0,Pro,513
593144800,dire,0,Pro,523
646501704,radiant,0,Pro,530
589157786,dire,0,Pro,537
602341542,dire,0,Pro,545
610451558,dire,0,Pro,553
599472634,radiant,0,Pro,556
647826183,radiant,0,Pro,569
580713548,dire,0,Pro,574
643231908,dire,0,Pro,580
589072947,radiant,0,Pro,583
580607270,radiant,0,Pro,598
599633031,radiant,0,Pro,620
644940512,radiant,0,Pro,627
602248335,dire,0,Pro,638
600841581,radiant,0,Pro,655
643128080,dire,0,Pro,677
647752500,dire,0,Pro,698
613149649,radiant,0,Pro,928
569716737,dire,0,Pro,1027
644790017,dire,1,Pro,148
599569853,dire,1,Pro,236
593051940,radiant,1,Pro,277
610363820,dire,1,Pro,308
647868978,dire,1,Pro,313
569649581,radiant,1,Pro,368
600946678,dire,1,Pro,377
588972183,dire,1,Pro,389
644837381,dire,1,Pro,392
580795951,radiant,1,Pro,399
591890072,radiant,1,Pro,400
590518928,dire,1,Pro,425
591705499,radiant,1,Pro,428
646416200,dire,1,Pro,438
611706372,dire,1,Pro,439
645037586,radiant,1,Pro,441
644745895,radiant,1,Pro,452
646298269,radiant,1,Pro,466
644725431,dire,1,Pro,468
590348637,radiant,1,Pro,473
601028596,dire,1,Pro,505
591798786,dire,1,Pro,507
579132234,radiant,1,Pro,522
610263617,radiant,1,Pro,523
648005989,dire,1,Pro,526
599472634,dire,1,Pro,526
580713548,radiant,1,Pro,528
646501704,dire,1,Pro,538
589157786,radiant,1,Pro,558
590436483,radiant,1,Pro,576
611805511,radiant,1,Pro,588
602341542,radiant,1,Pro,629
593144800,radiant,1,Pro,639
589072947,dire,1,Pro,642
602248335,radiant,1,Pro,642
599633031,dire,1,Pro,642
643231908,radiant,1,Pro,649
610451558,radiant,1,Pro,650
643128080,radiant,1,Pro,665
580607270,dire,1,Pro,665
647826183,dire,1,Pro,673
600841581,dire,1,Pro,691
644940512,dire,1,Pro,699
647752500,radiant,1,Pro,735
613149649,dire,1,Pro,830
569716737,radiant,1,Pro,1051
