match,team,won,tier,change_per_min_person
628546255,dire,1,Normal,1.04160246533
641756777,dire,1,Normal,2.14422057264
627832188,radiant,1,Normal,2.15939415795
628238411,radiant,1,Normal,2.190749079
627845961,dire,1,Normal,2.2331838565
643438672,radiant,1,Normal,2.23384615385
641869130,dire,1,Normal,2.27543252595
628328743,radiant,1,Normal,2.2976744186
627623750,radiant,1,Normal,2.30661478599
628172689,radiant,1,Normal,2.33206314643
638646888,dire,1,Normal,2.33284241532
625739549,radiant,1,Normal,2.33656644035
625840949,radiant,1,Normal,2.36626916525
642864521,dire,1,Normal,2.36666666667
625935277,dire,1,Normal,2.37480314961
641717130,radiant,1,Normal,2.39022403259
623384981,radiant,1,Normal,2.40163098879
636469748,radiant,1,Normal,2.40597345133
643571475,dire,1,Normal,2.41477272727
639928171,radiant,1,Normal,2.42307692308
621214317,dire,1,Normal,2.42630136986
627677789,radiant,1,Normal,2.45003065604
643524414,dire,1,Normal,2.48334274421
643061665,radiant,1,Normal,2.4834663626
645112787,dire,1,Normal,2.50380928975
643208148,dire,1,Normal,2.50588235294
623642286,dire,1,Normal,2.51232762223
638374052,radiant,1,Normal,2.52631578947
621885923,radiant,1,Normal,2.53399668325
639915588,dire,1,Normal,2.53963295588
624816454,radiant,1,Normal,2.56506447831
628557042,dire,1,Normal,2.56885147324
621620590,dire,1,Normal,2.57051053195
648246832,dire,1,Normal,2.59441340782
643387304,dire,1,Normal,2.59917355372
638431876,dire,1,Normal,2.62235649547
648271831,dire,1,Normal,2.62888735314
643346528,radiant,1,Normal,2.63056379822
645149633,radiant,1,Normal,2.63713798978
643627112,radiant,1,Normal,2.64335664336
645047492,dire,1,Normal,2.6821192053
640022519,radiant,1,Normal,2.68239258635
643470370,dire,1,Normal,2.69834535426
638514403,radiant,1,Normal,2.70715835141
621041235,dire,1,Normal,2.73320158103
645199327,dire,1,Normal,2.77121771218
639944687,radiant,1,Normal,2.86259541985
638324033,radiant,1,Normal,2.89672758181
628546255,radiant,0,Normal,0.751926040062
642864521,radiant,0,Normal,1.35333333333
639928171,dire,0,Normal,1.77935222672
627623750,dire,0,Normal,1.79299610895
638374052,dire,0,Normal,1.81784897025
643061665,dire,0,Normal,1.81984036488
627677789,dire,0,Normal,1.82464745555
638514403,dire,0,Normal,1.83514099783
621885923,dire,0,Normal,1.85737976783
641717130,dire,0,Normal,1.90142566191
643571475,radiant,0,Normal,1.90340909091
628238411,dire,0,Normal,1.95988538682
628172689,dire,0,Normal,1.98584648884
645149633,dire,0,Normal,2.02896081772
625935277,radiant,0,Normal,2.05984251969
638646888,radiant,0,Normal,2.0795287187
643387304,radiant,0,Normal,2.09090909091
641756777,radiant,0,Normal,2.131495228
627845961,radiant,0,Normal,2.13632286996
621041235,radiant,0,Normal,2.15217391304
641869130,radiant,0,Normal,2.16747404844
638324033,dire,0,Normal,2.17764555886
621214317,radiant,0,Normal,2.19616438356
623642286,radiant,0,Normal,2.2014208107
624816454,dire,0,Normal,2.20867526377
627832188,dire,0,Normal,2.23296069239
625840949,dire,0,Normal,2.23850085179
648246832,radiant,0,Normal,2.23910614525
645047492,radiant,0,Normal,2.27152317881
643470370,radiant,0,Normal,2.28595672465
643438672,dire,0,Normal,2.30769230769
628557042,radiant,0,Normal,2.35959110042
643524414,radiant,0,Normal,2.37492941841
