id,match,team,win_lose,Tier,mean,std,var
77,645228608,radiant,Win,High,84.0379679956,43.3588428404,1879.98925246
78,645231926,dire,Win,High,78.3491719427,46.1271499215,2127.71395988
79,645231926,radiant,Lose,High,74.1993401606,36.6004841744,1339.5954418
80,645260190,dire,Win,High,92.7918690633,35.3702491286,1251.05452342
81,645260190,radiant,Lose,High,92.5662979409,33.563548743,1126.51180423
82,645268274,dire,Win,High,98.4759822917,27.250811001,742.60670021
83,645268274,radiant,Lose,High,90.8582410036,31.4521205922,989.235889746
84,645274767,dire,Lose,High,64.7123393634,43.1118273065,1858.62965371
85,645274767,radiant,Win,High,82.5339552545,41.1933041519,1696.88830695
86,645282289,dire,Win,High,96.805060219,33.8475225964,1145.65478591
87,645282289,radiant,Lose,High,71.4063362589,37.7626882553,1426.02062427
88,645396133,dire,Lose,High,82.1815766696,26.3165991181,692.563389145
89,645396133,radiant,Win,High,80.401211708,44.3079882239,1963.19782045
90,648148700,dire,Win,High,85.8689938469,40.2646161361,1621.23931259
91,648148700,radiant,Lose,High,78.2075348925,39.6690951453,1573.63710964
92,648170324,dire,Lose,High,74.1747333831,38.0638734901,1448.85846507
93,648170324,radiant,Win,High,83.7703343197,45.0096046251,2025.86450851
94,648244534,dire,Win,High,87.5676032919,38.8599833649,1510.09830712
95,648244534,radiant,Lose,High,78.2141992699,37.526802284,1408.26088966
96,648267400,dire,Lose,High,82.2192721583,42.7144185403,1824.52155123
97,648267400,radiant,Win,High,79.6211188326,42.9885143819,1848.01236876
