id,match,team,win_lose,tier,mean,std,var
73,644790017,radiant,Lose,Pro,83.2659860587,31.6051778862,998.887269221
74,644837381,dire,Win,Pro,75.8663392858,40.0772446652,1606.18553995
75,644837381,radiant,Lose,Pro,88.8844328078,38.3025165839,1467.08277666
76,644940512,dire,Win,Pro,89.1077721684,36.0958479014,1302.91023572
77,644940512,radiant,Lose,Pro,99.1500700486,43.2226076359,1868.19381085
78,645037586,dire,Lose,Pro,95.29791519,29.8745517777,892.488843916
79,645037586,radiant,Win,Pro,80.7481200627,37.0372197086,1371.75564374
80,646298269,dire,Lose,Pro,73.9460673761,39.4330673213,1554.96679836
81,646298269,radiant,Win,Pro,67.7284226411,40.8710372559,1670.44168637
82,646416200,dire,Win,Pro,82.2004658226,39.1862321613,1535.560791
83,646416200,radiant,Lose,Pro,81.5177184008,33.4643892348,1119.86534686
84,646501704,dire,Win,Pro,83.6238393931,43.9633684491,1932.77776539
85,646501704,radiant,Lose,Pro,73.5587841104,41.8398207332,1750.57059899
86,647752500,dire,Lose,Pro,79.83558103,35.0039096463,1225.27369052
87,647752500,radiant,Win,Pro,91.9394650818,31.6803632161,1003.64541351
88,647826183,dire,Win,Pro,78.0307998447,38.6666215333,1495.1076208
89,647826183,radiant,Lose,Pro,85.0359462715,41.6551755487,1735.15364999
90,647868978,dire,Win,Pro,91.3333610419,31.4678212042,990.223771337
91,647868978,radiant,Lose,Pro,88.4358291094,30.0205260241,901.231982762
92,648005989,dire,Win,Pro,75.6386777894,36.5346776694,1334.78267241
93,648005989,radiant,Lose,Pro,86.1805981272,32.9132718138,1083.28346149
