id,match,team,win_lose,tier,mean,std,var
68,645223470,dire,Win,VeryHigh,80.1894798053,38.2103293259,1460.02926719
69,645223470,radiant,Lose,VeryHigh,77.4920107717,34.7352921028,1206.54051747
70,645231935,dire,Win,VeryHigh,75.2617577279,39.4874337563,1559.25742466
71,645231935,radiant,Lose,VeryHigh,82.1095170547,39.8339271658,1586.74175345
72,645252358,dire,Win,VeryHigh,73.8828387538,36.1426274783,1306.28952103
73,645252358,radiant,Lose,VeryHigh,70.3308171281,41.761809308,1744.04871667
74,645258275,dire,Lose,VeryHigh,99.8116673045,23.1484126366,535.849007596
75,645258275,radiant,Win,VeryHigh,99.7943681698,37.0356177136,1371.63697943
76,645284166,dire,Lose,VeryHigh,73.4565358441,34.6613393185,1201.40844335
77,645284166,radiant,Win,VeryHigh,87.5473194665,46.42674078,2155.44225946
78,645285079,dire,Win,VeryHigh,92.374576527,35.4804983777,1258.86576513
79,645285079,radiant,Lose,VeryHigh,95.8881302846,35.5401803743,1263.10442104
80,645312257,dire,Win,VeryHigh,74.2190460952,43.5245755125,1894.38867354
81,645312257,radiant,Lose,VeryHigh,68.2406807985,37.6714510905,1419.13822727
82,645318558,dire,Lose,VeryHigh,68.9674646605,29.6064917662,876.544354704
83,645318558,radiant,Win,VeryHigh,86.1483642522,38.642893832,1493.27324371
84,645319525,dire,Lose,VeryHigh,79.1559385617,34.248327608,1172.94794394
85,645319525,radiant,Win,VeryHigh,76.6083454274,44.2720708971,1960.01626151
86,645347209,dire,Lose,VeryHigh,82.498668535,33.5689531709,1126.87461699
87,645347209,radiant,Win,VeryHigh,70.6891447528,34.8958181452,1217.71812402
88,645358352,dire,Lose,VeryHigh,87.0525100406,37.1384989074,1379.2681011
89,645358352,radiant,Win,VeryHigh,78.5370788777,37.4659705583,1403.69894988
90,645867950,dire,Win,VeryHigh,81.5729721064,34.5308723138,1192.38114275
91,645867950,radiant,Lose,VeryHigh,79.1163045674,37.8835324926,1435.16203412
92,646049346,dire,Win,VeryHigh,100.303250049,36.0444130747,1299.1997139
93,646049346,radiant,Lose,VeryHigh,70.182812598,35.2214953412,1240.55373407
94,647798202,dire,Lose,VeryHigh,82.4462650202,34.7013711264,1204.18515805
95,647798202,radiant,Win,VeryHigh,75.876768588,39.3572988995,1548.99697666
96,647869043,dire,Win,VeryHigh,67.5933627814,37.2805007451,1389.83573581
97,647869043,radiant,Lose,VeryHigh,67.7734745125,39.9134586996,1593.08418536
98,648283764,dire,Win,VeryHigh,81.4399116435,41.0026152925,1681.21446083
99,648283764,radiant,Lose,VeryHigh,85.851120398,41.626737292,1732.78525757
